document_id,type_document,secteur,zone,annee,structure,document_source,relation,similarite_attendue,type_anomalie,source
TDR-001,TDR,Agriculture,Centre-Est,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-002,TDR,Agriculture,Centre-Est,2026,Structure fictive,TDR-001,near_duplicate,élevé,quasi-doublon,synthétique
TDR-003,TDR,Agriculture,Centre-Est,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-004,TDR,Hydraulique,Nord,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-005,TDR,Hydraulique,Nord,2026,Structure fictive,TDR-004,near_duplicate,élevé,quasi-doublon,synthétique
TDR-006,TDR,Hydraulique,Nord,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-007,TDR,Santé,Centre-Nord,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-008,TDR,Santé,Centre-Nord,2026,Structure fictive,TDR-007,near_duplicate,élevé,quasi-doublon,synthétique
TDR-009,TDR,Santé,Centre-Nord,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-010,TDR,Éducation,Boucle du Mouhoun,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-011,TDR,Éducation,Boucle du Mouhoun,2026,Structure fictive,TDR-010,near_duplicate,élevé,quasi-doublon,synthétique
TDR-012,TDR,Éducation,Boucle du Mouhoun,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-013,TDR,Environnement,Nord,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-014,TDR,Environnement,Nord,2026,Structure fictive,TDR-013,near_duplicate,élevé,quasi-doublon,synthétique
TDR-015,TDR,Environnement,Nord,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-016,TDR,Énergie,Est,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-017,TDR,Énergie,Est,2026,Structure fictive,TDR-016,near_duplicate,élevé,quasi-doublon,synthétique
TDR-018,TDR,Énergie,Est,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-019,TDR,Numérique,Centre,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-020,TDR,Numérique,Centre,2026,Structure fictive,TDR-019,near_duplicate,élevé,quasi-doublon,synthétique
TDR-021,TDR,Numérique,Centre,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-022,TDR,Gouvernance,Centre-Ouest,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-023,TDR,Gouvernance,Centre-Ouest,2026,Structure fictive,TDR-022,near_duplicate,élevé,quasi-doublon,synthétique
TDR-024,TDR,Gouvernance,Centre-Ouest,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-025,TDR,Protection sociale,Sahel,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-026,TDR,Protection sociale,Sahel,2026,Structure fictive,TDR-025,near_duplicate,élevé,quasi-doublon,synthétique
TDR-027,TDR,Protection sociale,Sahel,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-028,TDR,Emploi,Hauts-Bassins,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-029,TDR,Emploi,Hauts-Bassins,2026,Structure fictive,TDR-028,near_duplicate,élevé,quasi-doublon,synthétique
TDR-030,TDR,Emploi,Hauts-Bassins,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
TDR-031,TDR,Aménagement,Cascades,2026,Structure fictive,,original,distinct,aucune,synthétique
TDR-032,TDR,Aménagement,Cascades,2026,Structure fictive,TDR-031,near_duplicate,élevé,quasi-doublon,synthétique
TDR-033,TDR,Aménagement,Cascades,2026,Structure fictive,,close_non_duplicate,moyen,faux positif potentiel,synthétique
