doc_a,doc_b,type_document,label,relation
RAP-001,RAP-021,Rapport,1,literal_copy
RAP-002,RAP-022,Rapport,1,literal_copy
RAP-003,RAP-023,Rapport,1,literal_copy
RAP-004,RAP-024,Rapport,1,literal_copy
RAP-005,RAP-025,Rapport,1,literal_copy
RAP-006,RAP-026,Rapport,1,literal_copy
RAP-007,RAP-027,Rapport,1,literal_copy
RAP-008,RAP-028,Rapport,1,literal_copy
RAP-009,RAP-029,Rapport,1,literal_copy
RAP-010,RAP-030,Rapport,1,literal_copy
RAP-011,RAP-031,Rapport,1,literal_copy
RAP-012,RAP-032,Rapport,1,literal_copy
RAP-013,RAP-033,Rapport,1,literal_copy
RAP-014,RAP-034,Rapport,1,literal_copy
RAP-015,RAP-035,Rapport,1,literal_copy
RAP-016,RAP-036,Rapport,1,literal_copy
RAP-017,RAP-037,Rapport,1,literal_copy
RAP-018,RAP-038,Rapport,1,literal_copy
RAP-019,RAP-039,Rapport,1,literal_copy
RAP-020,RAP-040,Rapport,1,literal_copy
RAP-001,RAP-041,Rapport,1,paraphrase
RAP-002,RAP-042,Rapport,1,paraphrase
RAP-003,RAP-043,Rapport,1,paraphrase
RAP-004,RAP-044,Rapport,1,paraphrase
RAP-005,RAP-045,Rapport,1,paraphrase
RAP-006,RAP-046,Rapport,1,paraphrase
RAP-007,RAP-047,Rapport,1,paraphrase
RAP-008,RAP-048,Rapport,1,paraphrase
RAP-009,RAP-049,Rapport,1,paraphrase
RAP-010,RAP-050,Rapport,1,paraphrase
RAP-011,RAP-051,Rapport,1,paraphrase
RAP-012,RAP-052,Rapport,1,paraphrase
RAP-013,RAP-053,Rapport,1,paraphrase
RAP-014,RAP-054,Rapport,1,paraphrase
RAP-015,RAP-055,Rapport,1,paraphrase
RAP-001,RAP-018,Rapport,0,different_or_hard_negative
RAP-001,RAP-038,Rapport,0,different_or_hard_negative
RAP-001,RAP-058,Rapport,0,different_or_hard_negative
RAP-002,RAP-005,Rapport,0,different_or_hard_negative
RAP-002,RAP-025,Rapport,0,different_or_hard_negative
RAP-002,RAP-045,Rapport,0,different_or_hard_negative
RAP-003,RAP-013,Rapport,0,different_or_hard_negative
RAP-003,RAP-033,Rapport,0,different_or_hard_negative
RAP-003,RAP-053,Rapport,0,different_or_hard_negative
RAP-004,RAP-015,Rapport,0,different_or_hard_negative
RAP-004,RAP-035,Rapport,0,different_or_hard_negative
RAP-004,RAP-055,Rapport,0,different_or_hard_negative
RAP-005,RAP-022,Rapport,0,different_or_hard_negative
RAP-005,RAP-042,Rapport,0,different_or_hard_negative
RAP-006,RAP-019,Rapport,0,different_or_hard_negative
RAP-006,RAP-039,Rapport,0,different_or_hard_negative
RAP-006,RAP-059,Rapport,0,different_or_hard_negative
RAP-008,RAP-020,Rapport,0,different_or_hard_negative
RAP-008,RAP-040,Rapport,0,different_or_hard_negative
RAP-008,RAP-060,Rapport,0,different_or_hard_negative
RAP-009,RAP-017,Rapport,0,different_or_hard_negative
RAP-009,RAP-037,Rapport,0,different_or_hard_negative
RAP-009,RAP-057,Rapport,0,different_or_hard_negative
RAP-010,RAP-014,Rapport,0,different_or_hard_negative
RAP-010,RAP-034,Rapport,0,different_or_hard_negative
RAP-010,RAP-054,Rapport,0,different_or_hard_negative
RAP-013,RAP-023,Rapport,0,different_or_hard_negative
RAP-013,RAP-043,Rapport,0,different_or_hard_negative
RAP-014,RAP-030,Rapport,0,different_or_hard_negative
RAP-014,RAP-050,Rapport,0,different_or_hard_negative
RAP-015,RAP-024,Rapport,0,different_or_hard_negative
RAP-015,RAP-044,Rapport,0,different_or_hard_negative
RAP-016,RAP-056,Rapport,0,different_or_hard_negative
RAP-017,RAP-029,Rapport,0,different_or_hard_negative
RAP-017,RAP-049,Rapport,0,different_or_hard_negative
RAP-017,RAP-057,Rapport,0,different_or_hard_negative
RAP-018,RAP-021,Rapport,0,different_or_hard_negative
RAP-018,RAP-041,Rapport,0,different_or_hard_negative
RAP-018,RAP-058,Rapport,0,different_or_hard_negative
RAP-019,RAP-026,Rapport,0,different_or_hard_negative
RAP-019,RAP-046,Rapport,0,different_or_hard_negative
RAP-019,RAP-059,Rapport,0,different_or_hard_negative
RAP-020,RAP-028,Rapport,0,different_or_hard_negative
RAP-020,RAP-048,Rapport,0,different_or_hard_negative
RAP-020,RAP-060,Rapport,0,different_or_hard_negative
RAP-021,RAP-038,Rapport,0,different_or_hard_negative
RAP-021,RAP-041,Rapport,0,different_or_hard_negative
RAP-021,RAP-058,Rapport,0,different_or_hard_negative
RAP-022,RAP-025,Rapport,0,different_or_hard_negative
RAP-022,RAP-042,Rapport,0,different_or_hard_negative
RAP-022,RAP-045,Rapport,0,different_or_hard_negative
RAP-023,RAP-033,Rapport,0,different_or_hard_negative
RAP-023,RAP-043,Rapport,0,different_or_hard_negative
RAP-023,RAP-053,Rapport,0,different_or_hard_negative
RAP-024,RAP-035,Rapport,0,different_or_hard_negative
RAP-024,RAP-044,Rapport,0,different_or_hard_negative
RAP-024,RAP-055,Rapport,0,different_or_hard_negative
RAP-025,RAP-042,Rapport,0,different_or_hard_negative
RAP-025,RAP-045,Rapport,0,different_or_hard_negative
RAP-026,RAP-039,Rapport,0,different_or_hard_negative
RAP-026,RAP-046,Rapport,0,different_or_hard_negative
RAP-026,RAP-059,Rapport,0,different_or_hard_negative
RAP-027,RAP-047,Rapport,0,different_or_hard_negative
RAP-028,RAP-040,Rapport,0,different_or_hard_negative
RAP-028,RAP-048,Rapport,0,different_or_hard_negative
RAP-028,RAP-060,Rapport,0,different_or_hard_negative
RAP-029,RAP-037,Rapport,0,different_or_hard_negative
RAP-029,RAP-049,Rapport,0,different_or_hard_negative
RAP-029,RAP-057,Rapport,0,different_or_hard_negative
RAP-030,RAP-034,Rapport,0,different_or_hard_negative
RAP-030,RAP-050,Rapport,0,different_or_hard_negative
RAP-030,RAP-054,Rapport,0,different_or_hard_negative
RAP-031,RAP-051,Rapport,0,different_or_hard_negative
RAP-032,RAP-052,Rapport,0,different_or_hard_negative
RAP-033,RAP-043,Rapport,0,different_or_hard_negative
RAP-033,RAP-053,Rapport,0,different_or_hard_negative
RAP-034,RAP-050,Rapport,0,different_or_hard_negative
RAP-034,RAP-054,Rapport,0,different_or_hard_negative
RAP-035,RAP-044,Rapport,0,different_or_hard_negative
RAP-035,RAP-055,Rapport,0,different_or_hard_negative
RAP-036,RAP-056,Rapport,0,different_or_hard_negative
RAP-037,RAP-049,Rapport,0,different_or_hard_negative
RAP-037,RAP-057,Rapport,0,different_or_hard_negative
RAP-038,RAP-041,Rapport,0,different_or_hard_negative
RAP-038,RAP-058,Rapport,0,different_or_hard_negative
RAP-039,RAP-046,Rapport,0,different_or_hard_negative
RAP-039,RAP-059,Rapport,0,different_or_hard_negative
RAP-040,RAP-048,Rapport,0,different_or_hard_negative
RAP-040,RAP-060,Rapport,0,different_or_hard_negative
RAP-041,RAP-058,Rapport,0,different_or_hard_negative
RAP-042,RAP-045,Rapport,0,different_or_hard_negative
RAP-043,RAP-053,Rapport,0,different_or_hard_negative
RAP-044,RAP-055,Rapport,0,different_or_hard_negative
RAP-046,RAP-059,Rapport,0,different_or_hard_negative
RAP-048,RAP-060,Rapport,0,different_or_hard_negative
RAP-049,RAP-057,Rapport,0,different_or_hard_negative
RAP-050,RAP-054,Rapport,0,different_or_hard_negative
TDR-001,TDR-002,TDR,1,near_duplicate
TDR-004,TDR-005,TDR,1,near_duplicate
TDR-007,TDR-008,TDR,1,near_duplicate
TDR-010,TDR-011,TDR,1,near_duplicate
TDR-013,TDR-014,TDR,1,near_duplicate
TDR-016,TDR-017,TDR,1,near_duplicate
TDR-019,TDR-020,TDR,1,near_duplicate
TDR-022,TDR-023,TDR,1,near_duplicate
TDR-025,TDR-026,TDR,1,near_duplicate
TDR-028,TDR-029,TDR,1,near_duplicate
TDR-031,TDR-032,TDR,1,near_duplicate
TDR-034,TDR-035,TDR,1,near_duplicate
TDR-037,TDR-038,TDR,1,near_duplicate
TDR-040,TDR-041,TDR,1,near_duplicate
TDR-043,TDR-044,TDR,1,near_duplicate
TDR-046,TDR-047,TDR,1,near_duplicate
TDR-049,TDR-050,TDR,1,near_duplicate
TDR-052,TDR-053,TDR,1,near_duplicate
TDR-055,TDR-056,TDR,1,near_duplicate
TDR-058,TDR-059,TDR,1,near_duplicate
TDR-001,TDR-003,TDR,0,different_or_hard_negative
TDR-001,TDR-052,TDR,0,different_or_hard_negative
TDR-001,TDR-053,TDR,0,different_or_hard_negative
TDR-001,TDR-054,TDR,0,different_or_hard_negative
TDR-002,TDR-003,TDR,0,different_or_hard_negative
TDR-002,TDR-052,TDR,0,different_or_hard_negative
TDR-002,TDR-053,TDR,0,different_or_hard_negative
TDR-002,TDR-054,TDR,0,different_or_hard_negative
TDR-003,TDR-052,TDR,0,different_or_hard_negative
TDR-003,TDR-053,TDR,0,different_or_hard_negative
TDR-003,TDR-054,TDR,0,different_or_hard_negative
TDR-004,TDR-006,TDR,0,different_or_hard_negative
TDR-004,TDR-013,TDR,0,different_or_hard_negative
TDR-004,TDR-014,TDR,0,different_or_hard_negative
TDR-004,TDR-015,TDR,0,different_or_hard_negative
TDR-005,TDR-006,TDR,0,different_or_hard_negative
TDR-005,TDR-013,TDR,0,different_or_hard_negative
TDR-005,TDR-014,TDR,0,different_or_hard_negative
TDR-005,TDR-015,TDR,0,different_or_hard_negative
TDR-006,TDR-013,TDR,0,different_or_hard_negative
TDR-006,TDR-014,TDR,0,different_or_hard_negative
TDR-006,TDR-015,TDR,0,different_or_hard_negative
TDR-007,TDR-009,TDR,0,different_or_hard_negative
TDR-007,TDR-037,TDR,0,different_or_hard_negative
TDR-007,TDR-038,TDR,0,different_or_hard_negative
TDR-007,TDR-039,TDR,0,different_or_hard_negative
TDR-008,TDR-009,TDR,0,different_or_hard_negative
TDR-008,TDR-037,TDR,0,different_or_hard_negative
TDR-008,TDR-038,TDR,0,different_or_hard_negative
TDR-008,TDR-039,TDR,0,different_or_hard_negative
TDR-009,TDR-037,TDR,0,different_or_hard_negative
TDR-009,TDR-038,TDR,0,different_or_hard_negative
TDR-009,TDR-039,TDR,0,different_or_hard_negative
TDR-010,TDR-012,TDR,0,different_or_hard_negative
TDR-010,TDR-043,TDR,0,different_or_hard_negative
TDR-010,TDR-044,TDR,0,different_or_hard_negative
TDR-010,TDR-045,TDR,0,different_or_hard_negative
TDR-011,TDR-012,TDR,0,different_or_hard_negative
TDR-011,TDR-043,TDR,0,different_or_hard_negative
TDR-011,TDR-044,TDR,0,different_or_hard_negative
TDR-011,TDR-045,TDR,0,different_or_hard_negative
TDR-012,TDR-043,TDR,0,different_or_hard_negative
TDR-012,TDR-044,TDR,0,different_or_hard_negative
TDR-012,TDR-045,TDR,0,different_or_hard_negative
TDR-013,TDR-015,TDR,0,different_or_hard_negative
TDR-014,TDR-015,TDR,0,different_or_hard_negative
TDR-016,TDR-018,TDR,0,different_or_hard_negative
TDR-016,TDR-055,TDR,0,different_or_hard_negative
TDR-016,TDR-056,TDR,0,different_or_hard_negative
TDR-016,TDR-057,TDR,0,different_or_hard_negative
TDR-017,TDR-018,TDR,0,different_or_hard_negative
TDR-017,TDR-055,TDR,0,different_or_hard_negative
TDR-017,TDR-056,TDR,0,different_or_hard_negative
TDR-017,TDR-057,TDR,0,different_or_hard_negative
TDR-018,TDR-055,TDR,0,different_or_hard_negative
TDR-018,TDR-056,TDR,0,different_or_hard_negative
TDR-018,TDR-057,TDR,0,different_or_hard_negative
TDR-019,TDR-021,TDR,0,different_or_hard_negative
TDR-020,TDR-021,TDR,0,different_or_hard_negative
TDR-022,TDR-024,TDR,0,different_or_hard_negative
TDR-022,TDR-058,TDR,0,different_or_hard_negative
TDR-022,TDR-059,TDR,0,different_or_hard_negative
TDR-022,TDR-060,TDR,0,different_or_hard_negative
TDR-023,TDR-024,TDR,0,different_or_hard_negative
TDR-023,TDR-058,TDR,0,different_or_hard_negative
TDR-023,TDR-059,TDR,0,different_or_hard_negative
TDR-023,TDR-060,TDR,0,different_or_hard_negative
TDR-024,TDR-058,TDR,0,different_or_hard_negative
TDR-024,TDR-059,TDR,0,different_or_hard_negative
TDR-024,TDR-060,TDR,0,different_or_hard_negative
TDR-025,TDR-027,TDR,0,different_or_hard_negative
TDR-025,TDR-049,TDR,0,different_or_hard_negative
TDR-025,TDR-050,TDR,0,different_or_hard_negative
TDR-025,TDR-051,TDR,0,different_or_hard_negative
TDR-026,TDR-027,TDR,0,different_or_hard_negative
TDR-026,TDR-049,TDR,0,different_or_hard_negative
TDR-026,TDR-050,TDR,0,different_or_hard_negative
